Designator,Comment,Footprint,LCSC Part #
C1,22pF,,C1804
C2,22pF,,C1804
C3,0.1uF,,C49678
C4,0.1uF,,C49678
C5,0.1uF,,C49678
C6,0.1uF,,C49678
C7,0.1uF,,C49678
C8,1uF,,C28323
D0,,DIODE-SOD-123,C81598
D1,,DIODE-SOD-123,C81598
D2,,DIODE-SOD-123,C81598
D3,,DIODE-SOD-123,C81598
D4,,DIODE-SOD-123,C81598
D5,,DIODE-SOD-123,C81598
D6,,DIODE-SOD-123,C81598
D7,,DIODE-SOD-123,C81598
D8,,DIODE-SOD-123,C81598
D9,,DIODE-SOD-123,C81598
DA,,DIODE-SOD-123,C81598
DALT,,DIODE-SOD-123,C81598
DALT2,,DIODE-SOD-123,C81598
DB,,DIODE-SOD-123,C81598
DBACKSLASH,,DIODE-SOD-123,C81598
DBACKSONG,,DIODE-SOD-123,C81598
DBACKSPACE,,DIODE-SOD-123,C81598
DBACKSPACE_1,,DIODE-SOD-123,C81598
DC,,DIODE-SOD-123,C81598
DCAPSLOCK,,DIODE-SOD-123,C81598
DCOMMA,,DIODE-SOD-123,C81598
DCTRL,,DIODE-SOD-123,C81598
DCTRL2,,DIODE-SOD-123,C81598
DD,,DIODE-SOD-123,C81598
DDASH,,DIODE-SOD-123,C81598
DDELETE,,DIODE-SOD-123,C81598
DDELETE2,,DIODE-SOD-123,C81598
DDOWN,,DIODE-SOD-123,C81598
DE,,DIODE-SOD-123,C81598
DEND,,DIODE-SOD-123,C81598
DENTER,,DIODE-SOD-123,C81598
DENTER2,,DIODE-SOD-123,C81598
DEQUAL,,DIODE-SOD-123,C81598
DEQUAL2,,DIODE-SOD-123,C81598
DESC,,DIODE-SOD-123,C81598
DF,,DIODE-SOD-123,C81598
DF1,,DIODE-SOD-123,C81598
DF10,,DIODE-SOD-123,C81598
DF11,,DIODE-SOD-123,C81598
DF12,,DIODE-SOD-123,C81598
DF2,,DIODE-SOD-123,C81598
DF3,,DIODE-SOD-123,C81598
DF4,,DIODE-SOD-123,C81598
DF5,,DIODE-SOD-123,C81598
DF6,,DIODE-SOD-123,C81598
DF7,,DIODE-SOD-123,C81598
DF8,,DIODE-SOD-123,C81598
DF9,,DIODE-SOD-123,C81598
DG,,DIODE-SOD-123,C81598
DGRAVE,,DIODE-SOD-123,C81598
DH,,DIODE-SOD-123,C81598
DHOME,,DIODE-SOD-123,C81598
DI,,DIODE-SOD-123,C81598
DINSERT,,DIODE-SOD-123,C81598
DJ,,DIODE-SOD-123,C81598
DK,,DIODE-SOD-123,C81598
DKP_0,,DIODE-SOD-123,C81598
DKP_1,,DIODE-SOD-123,C81598
DKP_2,,DIODE-SOD-123,C81598
DKP_3,,DIODE-SOD-123,C81598
DKP_4,,DIODE-SOD-123,C81598
DKP_5,,DIODE-SOD-123,C81598
DKP_52,,DIODE-SOD-123,C81598
DKP_6,,DIODE-SOD-123,C81598
DKP_62,,DIODE-SOD-123,C81598
DKP_7,,DIODE-SOD-123,C81598
DKP_8,,DIODE-SOD-123,C81598
DKP_9,,DIODE-SOD-123,C81598
DKP_ASTERISK,,DIODE-SOD-123,C81598
DKP_DASH,,DIODE-SOD-123,C81598
DKP_DEL,,DIODE-SOD-123,C81598
DKP_SLASH,,DIODE-SOD-123,C81598
DL,,DIODE-SOD-123,C81598
DLBRACKET,,DIODE-SOD-123,C81598
DLEFT,,DIODE-SOD-123,C81598
DLOCK,,DIODE-SOD-123,C81598
DM,,DIODE-SOD-123,C81598
DM1,,DIODE-SOD-123,C81598
DM2,,DIODE-SOD-123,C81598
DM3,,DIODE-SOD-123,C81598
DM4,,DIODE-SOD-123,C81598
DM5,,DIODE-SOD-123,C81598
DM6,,DIODE-SOD-123,C81598
DMENU,,DIODE-SOD-123,C81598
DN,,DIODE-SOD-123,C81598
DNEXTSONG,,DIODE-SOD-123,C81598
DNEXTSONG1,,DIODE-SOD-123,C81598
DNUMLOCK,,DIODE-SOD-123,C81598
DO,,DIODE-SOD-123,C81598
DP,,DIODE-SOD-123,C81598
DPAUSE,,DIODE-SOD-123,C81598
DPAUSEPLAY,,DIODE-SOD-123,C81598
DPERIOD,,DIODE-SOD-123,C81598
DPGDN,,DIODE-SOD-123,C81598
DPGUP,,DIODE-SOD-123,C81598
DPRTSC,,DIODE-SOD-123,C81598
DQ,,DIODE-SOD-123,C81598
DQUOTE,,DIODE-SOD-123,C81598
DR,,DIODE-SOD-123,C81598
DRBRACKET,,DIODE-SOD-123,C81598
DRIGHT,,DIODE-SOD-123,C81598
DS,,DIODE-SOD-123,C81598
DSCROLLLOCK,,DIODE-SOD-123,C81598
DSEMICOLON,,DIODE-SOD-123,C81598
DSHIFT,,DIODE-SOD-123,C81598
DSHIFT2,,DIODE-SOD-123,C81598
DSLASH,,DIODE-SOD-123,C81598
DSPACE,,DIODE-SOD-123,C81598
DT,,DIODE-SOD-123,C81598
DTAB,,DIODE-SOD-123,C81598
DU,,DIODE-SOD-123,C81598
DUNDERSCORE,,DIODE-SOD-123,C81598
DUP,,DIODE-SOD-123,C81598
DV,,DIODE-SOD-123,C81598
DVOLUMEUP,,DIODE-SOD-123,C81598
DVOLUMNEDOWN,,DIODE-SOD-123,C81598
DW,,DIODE-SOD-123,C81598
DWIN,,DIODE-SOD-123,C81598
DWIN2,,DIODE-SOD-123,C81598
DX,,DIODE-SOD-123,C81598
DY,,DIODE-SOD-123,C81598
DZ,,DIODE-SOD-123,C81598
IC3,,AT90USB-TQFP,C219090
R1,10k?,,C17414
R2,10k?,,C17414
R3,22 ohm,,C17553
R4,22 ohm,,C17553
R5,5.1k ohm,,C23186
R6,5.1k ohm,,C23186
Y2,CRYSTAL-GROUNDEDSMD-3.2X2.5,CRYSTAL-GROUNDEDSMD-3.2X2.5,C91749
