Designator,Mid X,Mid Y,Rotation,Layer
R3,439.98,135.89,0,Bottom
R4,439.98,133.86,0,Bottom
C3,416.81,141.5,270,Bottom
C4,417.3,120.75,270,Bottom
C5,421.39,132.05,180,Bottom
C6,398.81,142.14,90,Bottom
C7,421.39,140.21,180,Bottom
R1,419.33,120.75,270,Bottom
R2,396.75,134.62,180,Bottom
J1,444.28,137.16,270,Bottom
C8,421.39,134.11,0,Bottom
C1,407.67,120.65,270,Bottom
C2,413.77,120.65,90,Bottom
R5,440.66,138.91,90,Bottom
R6,444.91,143.51,180,Bottom
Y2,410.72,120.65,180,Bottom
D0,205.13,93.74,90,Bottom
D1,33.68,93.74,90,Bottom
D2,52.73,93.74,90,Bottom
D3,71.78,93.74,90,Bottom
D4,90.83,93.74,90,Bottom
D5,109.88,93.74,90,Bottom
D6,128.93,93.74,90,Bottom
D7,147.98,93.74,90,Bottom
D8,167.03,93.74,90,Bottom
D9,186.08,93.74,90,Bottom
DA,47.97,55.64,90,Bottom
DALT,64.64,17.03,90,Bottom
DALT2,207.51,17.03,90,Bottom
DB,133.69,35.83,90,Bottom
DBACKSLASH,276.82,72.4,90,Bottom
DBACKSONG,367.06,112.79,90,Bottom
DBACKSPACE,271.81,93.74,90,Bottom
DBACKSPACE_1,443.26,17.54,90,Bottom
DC,95.59,35.83,90,Bottom
DCAPSLOCK,21.77,55.64,90,Bottom
DCOMMA,190.84,35.83,90,Bottom
DCTRL,17.01,17.03,90,Bottom
DCTRL2,278.95,17.03,90,Bottom
DD,86.07,55.64,90,Bottom
DDASH,224.18,93.74,90,Bottom
DDELETE,305.14,74.69,90,Bottom
DDELETE2,443.26,35.83,90,Bottom
DDOWN,324.19,17.03,90,Bottom
DE,81.31,74.69,90,Bottom
DEND,324.19,74.69,90,Bottom
DENTER,271.2,55.89,90,Bottom
DENTER2,425.99,35.45,90,Bottom
DEQUAL,243.23,93.74,90,Bottom
DEQUAL2,425.48,74.57,90,Bottom
DESC,14.63,112.79,90,Bottom
DF,105.12,55.64,90,Bottom
DF1,33.68,112.79,90,Bottom
DF2,52.73,112.79,90,Bottom
DF3,71.78,112.79,90,Bottom
DF4,90.83,112.79,90,Bottom
DF5,109.88,112.79,90,Bottom
DF6,128.93,112.79,90,Bottom
DF7,147.98,112.79,90,Bottom
DF8,167.03,112.79,90,Bottom
DF9,186.08,112.79,90,Bottom
DF10,205.13,112.79,90,Bottom
DF11,224.18,112.79,90,Bottom
DF12,243.23,112.79,90,Bottom
DG,124.17,55.64,90,Bottom
DGRAVE,14.63,93.74,90,Bottom
DH,143.22,55.64,90,Bottom
DHOME,324.19,93.74,90,Bottom
DI,176.56,74.69,90,Bottom
DINSERT,305.14,93.74,90,Bottom
DJ,162.27,55.64,90,Bottom
DK,181.32,55.64,90,Bottom
DKP_0,376.58,17.03,90,Bottom
DKP_1,367.06,35.83,90,Bottom
DKP_2,386.11,35.83,90,Bottom
DKP_3,404.14,35.83,90,Bottom
DKP_4,367.06,55.64,90,Bottom
DKP_5,443.26,74.69,90,Bottom
DKP_6,405.16,55.64,90,Bottom
DKP_7,367.06,74.69,90,Bottom
DKP_8,386.11,74.69,90,Bottom
DKP_9,405.16,74.69,90,Bottom
DKP_52,386.11,55.64,90,Bottom
DKP_62,443.26,55.64,90,Bottom
DKP_ASTERISK,405.16,93.74,90,Bottom
DKP_DASH,424.21,93.74,90,Bottom
DKP_DEL,405.16,17.03,90,Bottom
DKP_SLASH,386.11,93.74,90,Bottom
DL,200.37,55.64,90,Bottom
DLBRACKET,233.71,74.69,90,Bottom
DLEFT,305.14,17.03,90,Bottom
DLOCK,443.26,113,90,Bottom
DM,171.79,35.83,90,Bottom
DM1,-4.42,17.03,90,Bottom
DM2,-3.42,35.83,90,Bottom
DM3,-2.42,55.64,90,Bottom
DM4,-3.42,74.69,90,Bottom
DM5,-4.42,93.74,90,Bottom
DM6,-4.42,112.79,90,Bottom
DMENU,255.14,17.03,90,Bottom
DN,152.74,35.83,90,Bottom
DNEXTSONG,405.16,112.79,90,Bottom
DNEXTSONG1,425,113,90,Bottom
DNUMLOCK,367.06,93.74,90,Bottom
DO,195.61,74.69,90,Bottom
DP,214.66,74.69,90,Bottom
DPAUSE,343.24,112.79,90,Bottom
DPAUSEPLAY,386.11,112.79,90,Bottom
DPERIOD,209.89,35.83,90,Bottom
DPGDN,343.24,74.69,90,Bottom
DPGUP,343.24,93.74,90,Bottom
DPRTSC,305.14,112.79,90,Bottom
DQ,43.21,74.69,90,Bottom
DQUOTE,238.47,55.64,90,Bottom
DR,100.36,74.69,90,Bottom
DRBRACKET,252.76,72.4,90,Bottom
DRIGHT,343.24,17.03,90,Bottom
DS,67.02,55.64,90,Bottom
DSCROLLLOCK,324.19,112.79,90,Bottom
DSEMICOLON,219.42,55.64,90,Bottom
